gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
SSBP1,3,"-0,05045","-0,18671","0,085801","0,01693","0,000287","1,8","0,467977",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
PAM16,2,"-0,05034","-1,02151","0,920835","0,65828","0,433333","88,2","0,919084",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
AKT2,2,"-0,04953","-0,18426","0,085195",0,0,0,"0,471148",0,Autophagy,DOWN,"0,97"
SAMD4B,3,"-0,04918","-0,29947","0,201111","0,197869","0,039152","80,1","0,700154",0,autophagy,DOWN,"0,97"
CYP2C9,3,"-0,04873","-0,24207","0,144607",0,0,0,"0,621287",0,autophagy,DOWN,"0,97"
FBXL7,3,"-0,04831","-0,17738","0,080764",0,0,0,"0,463226",0,autophagy,DOWN,"0,97"
ATG16L2,3,"-0,04789","-0,19793","0,102147",0,0,0,"0,531558",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
CLPP,3,"-0,04784","-0,20283","0,107161","0,049216","0,002422","11,2","0,54524",0,autophagy,DOWN,"0,97"
SAMD4A,3,"-0,04727","-0,37696","0,282416","0,251228","0,063116",76,"0,77869",0,autophagy,DOWN,"0,97"
ELOC,3,"-0,04722","-0,28465","0,190212","0,167664","0,028111","63,9","0,696694",0,autophagy,DOWN,"0,97"
MRPS16,3,"-0,04697","-0,22105","0,127105","0,111039","0,01233","52,3","0,596902",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
PSMA6,2,"-0,04697","-0,33885","0,244903","0,17853","0,031873","71,8","0,75243",0,autophagy,DOWN,"0,97"
CAT,3,"-0,04627","-0,45547","0,362931","0,34074","0,116104","89,3","0,824614",0,autophagy,DOWN,"0,97"
NDUFAF1,3,"-0,04612","-0,24134","0,149101","0,096531","0,009318","30,5","0,643334",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
EP300,3,"-0,04604","-0,31387","0,221792","0,163106","0,026604","46,6","0,736193",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
SND1,3,"-0,04581","-0,27341","0,181796","0,158484","0,025117","62,7","0,693241",0,autophagy,DOWN,"0,97"
QDPR,3,"-0,04555","-0,19061","0,099512",0,0,0,"0,538267",0,autophagy,DOWN,"0,97"
DPYSL3,3,"-0,04547","-0,90984","0,818895","0,741363","0,549619",96,"0,917873",0,autophagy,DOWN,"0,97"
MFN1,3,"-0,0451","-0,1806","0,090399",0,0,0,"0,51416",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
TIMP2,3,"-0,04432","-0,16834","0,0797",0,0,0,"0,483674",0,autophagy,DOWN,"0,97"
DDB1,3,"-0,04408","-0,38485","0,296691","0,287167","0,082465","91,2","0,799856",0,autophagy,DOWN,"0,97"
RAD23B,3,"-0,04403","-0,15611","0,068043",0,0,0,"0,441273",0,autophagy,DOWN,"0,97"
FUNDC1,3,"-0,04373","-0,34064","0,253174","0,219009","0,047965","70,1","0,772817",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
HMOX2,3,"-0,04347","-0,3009","0,21396","0,190837","0,036419","71,1","0,740669",0,autophagy,DOWN,"0,97"
MAPK3,3,"-0,04313","-0,23808","0,151822","0,103577","0,010728","35,2","0,664557",0,Autophagy,DOWN,"0,97"
IGF1R,3,"-0,04213","-0,21664","0,132383","0,086666","0,007511","30,9","0,636115",0,Autophagy,DOWN,"0,97"
HELZ2,3,"-0,04202","-0,37736","0,293313","0,202801","0,041128","45,6","0,805979",0,autophagy,DOWN,"0,97"
PRKAA1,3,"-0,04185","-0,16039","0,076683",0,0,0,"0,488915",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
PDE9A,3,"-0,04184","-0,28738","0,203706",0,0,0,"0,738402",0,autophagy,DOWN,"0,97"
COX10,3,"-0,04098","-0,23452","0,152554","0,132132","0,017459","59,8","0,678113",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
TOMM6,3,"-0,03996","-0,27658","0,196651","0,16089","0,025886","59,3","0,740615",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
HACE1,3,"-0,03982","-0,25939","0,179755","0,123319","0,015208","39,1","0,722273",0,autophagy,DOWN,"0,97"
UPF1,3,"-0,03931","-0,16139","0,082777",0,0,0,"0,527989",0,autophagy,DOWN,"0,97"
OXA1L,3,"-0,03909","-0,58668","0,508499","0,470312","0,221194","94,9","0,888719",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
ACOX2,3,"-0,0386","-0,61797","0,540761","0,488691","0,238819","92,3","0,896095",0,autophagy,DOWN,"0,97"
DCPS,3,"-0,03852","-0,4633","0,386247","0,343246","0,117818","84,5","0,858909",0,autophagy,DOWN,"0,97"
SUMO3,3,"-0,03785","-0,31654","0,240842","0,214571","0,046041","76,2","0,790101",0,Mitochondrial Biogenesis (complete),DOWN,"0,97"
PRUNE2,3,"-0,03732","-0,42285","0,348215","0,276566","0,076489","69,7","0,849525",0,autophagy,DOWN,"0,97"
MAP2K2,3,"-0,03716","-0,28068","0,206365","0,144178","0,020787",45,"0,764894",0,Autophagy,DOWN,"0,97"
UBE2R2,3,"-0,03589","-0,14418","0,072407",0,0,0,"0,516011",0,autophagy,DOWN,"0,98"
BCL2,3,"-0,03552","-0,75347","0,682426","0,578102","0,334202","84,6","0,922741",0,Autophagy,DOWN,"0,98"
NOS3,3,"-0,03531","-0,24768","0,177051",0,0,0,"0,744484",0,autophagy,DOWN,"0,98"
GABARAPL3,3,"-0,0349","-0,47466","0,404853",0,0,0,"0,876376",0,autophagy,DOWN,"0,98"
LETM1,3,"-0,03391","-0,17756","0,109746","0,061054","0,003728","22,6","0,64362",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
GPX1,3,"-0,03347","-0,39699","0,330046","0,268862","0,072287","73,1","0,85679",0,autophagy,DOWN,"0,98"
TBC1D17,3,"-0,03347","-0,18816","0,12123",0,0,0,"0,67155",0,Mitophagy,DOWN,"0,98"
MIPEP,3,"-0,03321","-0,25189","0,185469","0,154759","0,02395","64,3","0,765956",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
COX16,2,"-0,03237","-0,40897","0,344233","0,20565","0,042292","56,5","0,866218",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
PSME4,3,"-0,03187","-0,15324","0,089505",0,0,0,"0,606826",0,autophagy,DOWN,"0,98"
UBE2D1,3,"-0,03182","-0,30367","0,240038","0,190697","0,036365","63,1","0,818572",0,autophagy,DOWN,"0,98"
SMURF2,3,"-0,03172","-0,42747","0,364035","0,321896","0,103617",85,"0,875181",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
LYRM4,3,"-0,03139","-0,19823","0,135446","0,045085","0,002033","8,9","0,712301",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
SHMT1,3,"-0,03086","-0,21244","0,150727",0,0,0,"0,739086",0,autophagy,DOWN,"0,98"
MYLIP,3,"-0,02932","-0,16843","0,109793",0,0,0,"0,679563",0,autophagy,DOWN,"0,98"
CTSV,3,"-0,02914","-0,23631","0,17803",0,0,0,"0,782783",0,autophagy,DOWN,"0,98"
EDC3,3,"-0,02884","-0,18399","0,126299",0,0,0,"0,71556",0,autophagy,DOWN,"0,98"
PIK3R1,3,"-0,02862","-0,8237","0,766465","0,686608","0,47143","96,6","0,943755",0,Autophagy,DOWN,"0,98"
BOLL,3,"-0,02836","-0,24049","0,183783",0,0,0,"0,793333",0,autophagy,DOWN,"0,98"
RPUSD3,3,"-0,02829","-0,20324","0,146657","0,093013","0,008651","35,9","0,751269",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
PSMA5,3,"-0,02731","-0,16319","0,108573",0,0,0,"0,693666",0,autophagy,DOWN,"0,98"
CTSL3P,1,"-0,136","-0,66451","0,39251",NA,NA,NA,"0,614007",0,autophagy,DOWN,"0,91"
IDO2,3,"-0,02695","-0,2278","0,173908",0,0,0,"0,792589",0,autophagy,DOWN,"0,98"
ATG2A,3,"-0,0267","-0,17488","0,121489",0,0,0,"0,724003",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
TTC3,3,"-0,02654","-0,47985","0,426769","0,38148","0,145527",91,"0,908646",0,autophagy,DOWN,"0,98"
FAAH,3,"-0,02653","-0,24318","0,190107",0,0,0,"0,810281",0,autophagy,DOWN,"0,98"
ACAA1,3,"-0,02639","-0,22382","0,171041","0,130766","0,0171","56,5","0,793331",0,autophagy,DOWN,"0,98"
NEDD4,3,"-0,02636","-0,30459","0,251885","0,201026","0,040411",68,"0,852716",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
KCTD13,3,"-0,02614","-0,18444","0,132164",0,0,0,"0,746228",0,autophagy,DOWN,"0,98"
BCL2L13,3,"-0,02598","-0,16076","0,108789",0,0,0,"0,705516",0,Mitophagy,DOWN,"0,98"
EXOSC2,3,"-0,02574","-0,34649","0,295007","0,255545","0,065303",82,"0,875005",0,autophagy,DOWN,"0,98"
FBXL6,3,"-0,02508","-0,32667","0,276517","0,166744","0,027804","37,4","0,870544",0,autophagy,DOWN,"0,98"
TMEM150A,3,"-0,0244","-0,1866","0,13781",0,0,0,"0,768156",0,autophagy,DOWN,"0,98"
MPC1,3,"-0,02347","-0,3898","0,342859","0,294717","0,086858","83,3","0,900076",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
VCP,3,"-0,02337","-0,12844","0,081691",0,0,0,"0,662799",0,autophagy,DOWN,"0,98"
TET2,3,"-0,02328","-0,46167","0,415102","0,354917","0,125966","84,5","0,917091",0,autophagy,DOWN,"0,98"
PMPCB,3,"-0,02322","-0,33878","0,29233","0,246191","0,06061","79,6","0,885309",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
SHARPIN,3,"-0,02262","-0,31527","0,270016","0,223789","0,050082","74,9","0,879555",0,autophagy,DOWN,"0,98"
NPEPPS,3,"-0,02207","-0,21003","0,165883","0,115105","0,013249",47,"0,817966",0,autophagy,DOWN,"0,98"
AMBRA1,3,"-0,02205","-0,18698","0,142886","0,069064","0,00477","22,1","0,793319",0,Mitochondrial Biogenesis (complete),DOWN,"0,98"
EMC6,3,"-0,02183","-0,32939","0,285741","0,226585","0,051341","69,7","0,889383",0,autophagy,DOWN,"0,98"
AGL,3,"-0,02081","-0,27616","0,23453","0,174088","0,030307","59,8","0,873068",0,autophagy,DOWN,"0,99"
RHOT2,3,"-0,02075","-0,37063","0,329131","0,277803","0,077174","81,3","0,907466",0,Mitophagy,DOWN,"0,99"
RAB1B,3,"-0,02049","-0,30443","0,263449","0,21732","0,047228",75,"0,887511",0,autophagy,DOWN,"0,99"
ATG101,3,"-0,01978","-0,40612","0,366565","0,305243","0,093173","80,2","0,920079",0,Autophagy,DOWN,"0,99"
BAG6,3,"-0,01962","-0,15103","0,111783","0,023122","0,000535","3,3","0,76978",0,autophagy,DOWN,"0,99"
ATG13,3,"-0,01947","-0,16185","0,122906","0,002896","8,39E-06","0,1","0,788676",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
NRF1,3,"-0,0194","-0,17333","0,134534",0,0,0,"0,804908",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
NUDT4,3,"-0,01899","-0,21434","0,176368","0,114178","0,013037",43,"0,848927",0,autophagy,DOWN,"0,99"
RHBDD2,3,"-0,01854","-0,31167","0,274582","0,215118","0,046276","69,2","0,901324",0,autophagy,DOWN,"0,99"
NTAN1,3,"-0,0184","-0,24336","0,206551","0,123448","0,015239",36,"0,872605",0,autophagy,DOWN,"0,99"
DAZ1,1,"-0,026","-0,33701","0,285006",NA,NA,NA,"0,869845",0,autophagy,DOWN,"0,98"
DAZ2,1,"-0,026","-0,33701","0,285006",NA,NA,NA,"0,869845",0,autophagy,DOWN,"0,98"
DAZ3,1,"-0,026","-0,33701","0,285006",NA,NA,NA,"0,869845",0,autophagy,DOWN,"0,98"
DAZ4,1,"-0,026","-0,33701","0,285006",NA,NA,NA,"0,869845",0,autophagy,DOWN,"0,98"
PLA2G4D,3,"-0,01785","-0,24296","0,207266",0,0,0,"0,876509",0,autophagy,DOWN,"0,99"
PRORP,3,"-0,01778","-0,28276","0,247208","0,199622","0,039849","73,2","0,895383",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
POLE,3,"-0,01734","-0,22067","0,185991",0,0,0,"0,867256",0,autophagy,DOWN,"0,99"
POP4,3,"-0,01691","-0,17678","0,142963","0,031154","0,000971","4,3","0,8358",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
NUDT3,3,"-0,0169","-0,31449","0,280683","0,237686","0,056494","82,3","0,911356",0,autophagy,DOWN,"0,99"
VAT1,3,"-0,01649","-0,22882","0,195827","0,112456","0,012646","35,6","0,878978",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
PSMB4,3,"-0,01524","-0,27298","0,242505","0,194428","0,037802","74,4","0,907741",0,autophagy,DOWN,"0,99"
ACAD9,3,"-0,01519","-0,14951","0,119121",0,0,0,"0,82455",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
DDA1,3,"-0,01517","-0,13808","0,107735",0,0,0,"0,808837",0,autophagy,DOWN,"0,99"
ZNRF3,3,"-0,01515","-0,20268","0,172374","0,103651","0,010744",39,"0,87415",0,autophagy,DOWN,"0,99"
TIMM17A,3,"-0,01473","-0,32085","0,291398","0,240002","0,057601","79,6","0,924886",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
ATG7,3,"-0,01456","-0,18778","0,158654","0,088912","0,007905","33,1","0,869115",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
TIMM50,3,"-0,01428","-0,27429","0,24573","0,193381","0,037396","70,9","0,914267",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
AREL1,3,"-0,0142","-0,16391","0,1355","0,037812","0,00143","7,5","0,852465",0,autophagy,DOWN,"0,99"
UBD,2,"-0,01419","-0,4417","0,413327",0,0,0,"0,948142",0,autophagy,DOWN,"0,99"
COA8,3,"-0,01412","-0,19118","0,162939","0,061343","0,003763",15,"0,875774",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
FBXL3,3,"-0,01346","-0,34511","0,318185","0,263252","0,069301","80,8","0,936577",0,autophagy,DOWN,"0,99"
PRDX2,3,"-0,01276","-0,49318","0,467662","0,395524","0,156439","88,3","0,958491",0,autophagy,DOWN,"0,99"
PUM1,3,"-0,01237","-0,29035","0,265613","0,212505","0,045158","75,4","0,930514",0,autophagy,DOWN,"0,99"
RBX1,3,"-0,01195","-0,42684","0,402935","0,350445","0,122812","91,5","0,954967",0,autophagy,DOWN,"0,99"
LGMN,3,"-0,01137","-0,34131","0,318568","0,251322","0,063163","76,4","0,946151",0,autophagy,DOWN,"0,99"
FBXO11,3,"-0,01103","-0,11637","0,094315",0,0,0,"0,837428",0,autophagy,DOWN,"0,99"
HTT,3,"-0,01085","-0,14948","0,127774",0,0,0,"0,878043",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
ASRGL1,3,"-0,00944","-0,18723","0,16835",0,0,0,"0,917107",0,autophagy,DOWN,"0,99"
VPS37C,3,"-0,0094","-0,16326","0,144451",0,0,0,"0,904637",0,autophagy,DOWN,"0,99"
RPP25L,3,"-0,00932","-0,31365","0,295022","0,225953","0,051055","71,3","0,95216",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
DHTKD1,3,"-0,0093","-0,25856","0,23995","0,182377","0,033261","68,9","0,941674",0,Mitochondrial Biogenesis (complete),DOWN,"0,99"
BAD,3,"-0,00917","-0,21265","0,194315","0,09777","0,009559","29,2","0,929633",0,Autophagy,DOWN,"0,99"
DRAM2,3,"-0,00717","-0,32288","0,308536","0,236603","0,055981","75,6","0,964493",0,autophagy,DOWN,"1,00"
DNAJC18,3,"-0,00701","-0,37036","0,356344","0,267336","0,071468",70,"0,969843",0,autophagy,DOWN,"1,00"
GABPB1,3,"-0,00693","-0,16422","0,150356",0,0,0,"0,931139",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
TRUB2,3,"-0,00664","-0,23312","0,219834","0,163713","0,026802","67,1","0,954153",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
COX20,3,"-0,00652","-0,14258","0,129538",0,0,0,"0,925166",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
RNF123,3,"-0,00652","-0,26947","0,256423","0,191112","0,036524","67,9","0,96122",0,autophagy,DOWN,"1,00"
FUNDC2,2,"-0,00646","-0,28744","0,274522","0,130106","0,016927","36,2","0,964069",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
RAB1A,3,"-0,00636","-0,22708","0,214362","0,165781","0,027483","72,8","0,954984",0,Autophagy,DOWN,"1,00"
EHHADH,3,"-0,00606","-0,40018","0,388053","0,247438","0,061226","48,8","0,975941",0,autophagy,DOWN,"1,00"
DEPDC5,3,"-0,00546","-0,15992","0,149007",0,0,0,"0,944779",0,autophagy,DOWN,"1,00"
HBG2,2,"-0,00501","-1,12983","1,119805",0,0,0,"0,993034",0,autophagy,DOWN,"1,00"
UBE2L5,2,"-0,00475","-0,90604","0,896532",0,0,0,"0,991751",0,autophagy,DOWN,"1,00"
MAP1LC3B2,3,"-0,00316","-0,57719","0,570869","0,398793","0,159036",62,"0,991383",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
UBE2H,3,"-0,00295","-0,38342","0,377513","0,312124","0,097421","88,9","0,98787",0,autophagy,DOWN,"1,00"
SP1,3,"-0,00271","-0,31756","0,312142","0,250168","0,062584","81,1","0,986555",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
PSMD7,3,"-0,00262","-0,14652","0,141285","0,075128","0,005644","34,2","0,971566",0,autophagy,DOWN,"1,00"
RNF215,3,"-0,00255","-0,28722","0,28211","0,192765","0,037158","59,5","0,98597",0,autophagy,DOWN,"1,00"
HBD,3,"-0,00244","-0,34281","0,337934",0,0,0,"0,988806",0,autophagy,DOWN,"1,00"
SPOP,3,"-0,00235","-0,18287","0,178169","0,118197","0,013971","54,9","0,979649",0,autophagy,DOWN,"1,00"
KTN1,3,"-0,00158","-0,12861","0,12545","0,075042","0,005631","44,4","0,980524",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
ERCC8,3,"-0,00129","-0,17151","0,16893","0,07939","0,006303","27,5","0,988171",0,autophagy,DOWN,"1,00"
TIMM10,3,"-0,001","-0,30623","0,304227","0,205559","0,042255","58,6","0,994859",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
UBE4B,3,"-0,00096","-0,13687","0,134949",0,0,0,"0,988961",0,autophagy,DOWN,"1,00"
FMR1,3,"-0,00092","-0,15901","0,157178","0,09369","0,008778",45,"0,990923",0,autophagy,DOWN,"1,00"
TET1,3,"-0,00074","-0,71694","0,715461","0,597112","0,356543","90,2","0,998381",0,autophagy,DOWN,"1,00"
CREBBP,3,"-0,0007","-0,49372","0,492328","0,409682","0,167839","88,8","0,997787",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
MTCH1,3,"-0,00067","-0,19994","0,198598","0,140692","0,019794","64,2","0,994737",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
SYVN1,3,"-0,00024","-0,24916","0,248686","0,134854","0,018186","37,5","0,998515",0,autophagy,DOWN,"1,00"
TIMM23B,3,"-0,0002","-0,27931","0,278912","0,205033","0,042039","69,8","0,998883",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
TAMM41,2,"-5,01E-05","-0,20885","0,208749",0,0,0,"0,999625",0,Mitochondrial Biogenesis (complete),DOWN,"1,00"
KCTD17,3,"-0,31366","-0,59123","-0,03608","0,156681","0,024549","40,4","0,026778",1,autophagy,DOWN,"0,80"
CYP2E1,3,"-0,4368","-0,81582","-0,05777","0,20993","0,04407","34,3","0,0239",1,autophagy,DOWN,"0,74"
POLA1,3,"-0,17282","-0,32949","-0,01615","0,074651","0,005573","28,4","0,030617",1,autophagy,DOWN,"0,89"
PSMB10,3,"-0,30778","-0,51785","-0,09771","0,088693","0,007866","22,6","0,004083",1,autophagy,DOWN,"0,81"
TNFAIP3,3,"-0,42952","-0,70731","-0,15172","0,134109","0,017985","22,5","0,002442",1,autophagy,DOWN,"0,74"
TOMM40L,3,"-0,20516","-0,36277","-0,04755","0,066385","0,004407","21,7","0,01073",1,Mitochondrial Biogenesis (complete),DOWN,"0,87"
GGT5,3,"-0,42494","-0,67255","-0,17732","0,100503","0,010101","15,2","0,00077",1,autophagy,DOWN,"0,74"
ATP23,3,"-0,35963","-0,5639","-0,15536","0,047732","0,002278","6,6","0,000559",1,Mitochondrial Biogenesis (complete),DOWN,"0,78"
FBXO6,3,"-0,2998","-0,51672","-0,08288","0,054493","0,002969",5,"0,006752",1,autophagy,DOWN,"0,81"
SUMO4,3,"-0,3255","-0,56092","-0,09008","0,071774","0,005152","4,8","0,00673",1,Mitochondrial Biogenesis (complete),DOWN,"0,80"
CTSL,3,"-0,13741","-0,27349","-0,00133",0,0,0,"0,047804",1,autophagy,DOWN,"0,91"
ACTB,3,"-0,16164","-0,3136","-0,00967",0,0,0,"0,037093",1,Mitochondrial Biogenesis (complete),DOWN,"0,89"
FOXRED1,3,"-0,16446","-0,31587","-0,01305",0,0,0,"0,033256",1,Mitochondrial Biogenesis (complete),DOWN,"0,89"
SGSH,3,"-0,16826","-0,31362","-0,02289",0,0,0,"0,023288",1,autophagy,DOWN,"0,89"
VPS28,3,"-0,17833","-0,33818","-0,01848",0,0,0,"0,028775",1,autophagy,DOWN,"0,88"
BAK1,3,"-0,1912","-0,34289","-0,03951",0,0,0,"0,013489",1,Mitochondrial Biogenesis (complete),DOWN,"0,88"
AKT1,3,"-0,20815","-0,3509","-0,0654",0,0,0,"0,004264",1,Autophagy,DOWN,"0,87"
ATAD3A,3,"-0,20837","-0,40974","-0,007",0,0,0,"0,042551",1,Mitochondrial Biogenesis (complete),DOWN,"0,87"
ATAD3B,3,"-0,21306","-0,40313","-0,02298",0,0,0,"0,028019",1,Mitochondrial Biogenesis (complete),DOWN,"0,86"
PATL2,3,"-0,22654","-0,44916","-0,00391",0,0,0,"0,046107",1,autophagy,DOWN,"0,85"
CPT1C,3,"-0,23304","-0,45141","-0,01467",0,0,0,"0,036469",1,Mitochondrial Biogenesis (complete),DOWN,"0,85"
DAZL,3,"-0,28478","-0,50054","-0,06902",0,0,0,"0,009683",1,autophagy,DOWN,"0,82"
SLC27A4,3,"-0,2886","-0,47765","-0,09956",0,0,0,"0,002769",1,autophagy,DOWN,"0,82"
OTUD7A,3,"-0,28862","-0,50444","-0,07279",0,0,0,"0,008766",1,autophagy,DOWN,"0,82"
DNASE2B,2,"-0,29888","-0,50728","-0,09048",0,0,0,"0,00494",1,autophagy,DOWN,"0,81"
SCO2,2,"-0,31187","-0,60028","-0,02345",0,0,0,"0,034057",1,Mitochondrial Biogenesis (complete),DOWN,"0,81"
MCUB,3,"-0,31978","-0,55879","-0,08077",0,0,0,"0,008732",1,Mitochondrial Biogenesis (complete),DOWN,"0,80"
FAH,3,"-0,3576","-0,56463","-0,15057",0,0,0,"0,00071",1,autophagy,DOWN,"0,78"
ANPEP,3,"-0,36407","-0,56431","-0,16383",0,0,0,"0,000366",1,autophagy,DOWN,"0,78"
RPE65,3,"-0,45182","-0,72918","-0,17446",0,0,0,"0,001409",1,autophagy,DOWN,"0,73"
SARDH,3,"-0,45579","-0,71639","-0,19519",0,0,0,"0,000608",1,autophagy,DOWN,"0,73"
SEL1L,3,"0,529853","0,078481","0,981226","0,376008","0,141382","89,5","0,021404",1,autophagy,UP,"1,44"
LACTB2,3,"0,424677","0,020707","0,828646","0,330403","0,109166","85,7","0,039354",1,Mitochondrial Biogenesis (complete),UP,"1,34"
NDFIP2,3,"0,344384","0,04706","0,641707","0,237512","0,056412","82,2","0,023194",1,autophagy,UP,"1,27"
RAB23,3,"0,320789","0,0627","0,578878","0,195173","0,038092","73,4","0,014844",1,autophagy,UP,"1,25"
UBC,3,"0,244793","0,000993","0,488592","0,175255","0,030714","70,2","0,04907",1,Mitophagy,UP,"1,18"
RNF180,3,"0,363529","0,017923","0,709136","0,246798","0,060909","65,5","0,039242",1,autophagy,UP,"1,29"
OS9,3,"0,227654","0,012784","0,442523","0,15264","0,023299","64,9","0,037837",1,autophagy,UP,"1,17"
MAPK1,3,"0,231482","0,023525","0,439439","0,143854","0,020694","61,5","0,02913",1,Autophagy,UP,"1,17"
GFM2,3,"0,181817","0,009948","0,353687","0,118715","0,014093","61,2","0,038131",1,Mitochondrial Biogenesis (complete),UP,"1,13"
SIRT1,3,"0,198725","0,001715","0,395734","0,12974","0,016833","55,7","0,048035",1,Mitochondrial Biogenesis (complete),UP,"1,15"
AMFR,3,"0,200911","0,031558","0,370263","0,109807","0,012058","54,2","0,02006",1,autophagy,UP,"1,15"
ANKIB1,3,"0,263398","0,073764","0,453031","0,114665","0,013148","46,7","0,006481",1,autophagy,UP,"1,20"
ARIH1,3,"0,200807","0,046414","0,355199","0,091771","0,008422","45,2","0,010796",1,autophagy,UP,"1,15"
ADH1B,3,"0,779224","0,18707","1,371378","0,344629","0,118769","43,7","0,009903",1,autophagy,UP,"1,72"
C9orf72,3,"0,237462","0,010486","0,464437","0,133042","0,0177","43,4","0,040311",1,Autophagy,UP,"1,18"
FBXO7,3,"0,167078","0,026065","0,308091","0,07825","0,006123","39,4","0,020217",1,autophagy,UP,"1,12"
WDR41,3,"0,220342","0,055957","0,384728","0,087021","0,007573","35,8","0,008609",1,Autophagy,UP,"1,17"
CSNK2A2,3,"0,156017","0,001086","0,310948","0,080887","0,006543","34,7","0,048412",1,Mitophagy,UP,"1,11"
VPS37A,3,"0,259454","0,10593","0,412977","0,07967","0,006347","34,4","0,000925",1,autophagy,UP,"1,20"
CSNK2A1,3,"0,174682","0,021534","0,327831","0,075625","0,005719",31,"0,025378",1,Mitophagy,UP,"1,13"
TWNK,3,"0,299646","0,094548","0,504743","0,101604","0,010323","30,1","0,004189",1,Mitochondrial Biogenesis (complete),UP,"1,23"
BLMH,3,"0,172468","0,025931","0,319005","0,066827","0,004466","26,2","0,021064",1,autophagy,UP,"1,13"
BFAR,3,"0,211478","0,040883","0,382073","0,078745","0,006201","26,1","0,015111",1,autophagy,UP,"1,16"
GNPDA2,3,"0,240274","0,081239","0,399308","0,06868","0,004717","23,1","0,003064",1,autophagy,UP,"1,18"
PTCD2,3,"0,220784","0,055314","0,386255","0,067519","0,004559","21,3","0,008918",1,Mitochondrial Biogenesis (complete),UP,"1,17"
CYP2C18,2,"0,936995","-2,09968","3,973669","1,841824","3,392315","59,1","0,545327",0,autophagy,UP,"1,91"
NBR1,3,"0,227654","0,099985","0,355322","0,046456","0,002158","16,9","0,000474",1,Mitochondrial Biogenesis (complete),UP,"1,17"
ADH1A,3,"0,682153","-0,21415","1,578457","0,50171","0,251713",40,"0,135777",0,autophagy,UP,"1,60"
TIMP3,3,"0,657078","-0,09907","1,413227","0,659407","0,434817","97,4","0,088531",0,autophagy,UP,"1,58"
HSPA9,3,"0,632241","-0,02334","1,287823","0,553204","0,306034","94,8","0,058729",0,Mitochondrial Biogenesis (complete),UP,"1,55"
LIX1,3,"0,611727","-0,14028","1,363731","0,614541","0,37766","86,7","0,11085",0,autophagy,UP,"1,53"
DAO,2,"0,568951","-2,33307","3,47097","1,717586","2,950103","52,1","0,700782",0,autophagy,UP,"1,48"
ADH6,3,"0,562774","-0,1","1,225546","0,370166","0,137023",38,"0,096057",0,autophagy,UP,"1,48"
PPARGC1A,3,"0,539097","-0,13906","1,217255","0,559036","0,312521","87,3","0,119212",0,Mitochondrial Biogenesis (complete),UP,"1,45"
MT3,3,"0,537149","-0,65655","1,730849","0,966234","0,933609","87,6","0,377792",0,Mitochondrial Biogenesis (complete),UP,"1,45"
