gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
PSMB11,3,"-0,18307","-0,54565","0,179513",0,0,0,"0,322368",0,autophagy,DOWN,"0,88"
ECHDC2,2,"-0,17854","-0,6592","0,302127","0,305699","0,093452","76,6","0,466603",0,autophagy,DOWN,"0,88"
PDXDC2P,2,"-0,17695","-0,53268","0,178773","0,132386","0,017526","26,6","0,329564",0,autophagy,DOWN,"0,88"
FBXO39,1,"0,42","0,102494","0,737506",NA,NA,NA,"0,009522",1,autophagy,UP,"1,34"
APOA5,2,"-0,1737","-0,48035","0,132956",0,0,0,"0,266914",0,autophagy,DOWN,"0,89"
QPRT,3,"-0,17216","-0,97547","0,631159","0,695623","0,483892","96,7","0,674455",0,autophagy,DOWN,"0,89"
ADH1C,3,"-0,17131","-0,45968","0,117057",0,0,0,"0,244272",0,autophagy,DOWN,"0,89"
ATG10,3,"-0,17123","-0,75649","0,414029","0,500323","0,250323","93,7","0,566347",0,Mitochondrial Biogenesis (complete),DOWN,"0,89"
CARHSP1,3,"-0,1712","-0,51293","0,170537","0,240011","0,057605","65,1","0,326152",0,autophagy,DOWN,"0,89"
HBQ1,3,"-0,17084","-0,47675","0,135064",0,0,0,"0,273683",0,autophagy,DOWN,"0,89"
NUDT10,3,"-0,1706","-0,47408","0,132879",0,0,0,"0,270545",0,autophagy,DOWN,"0,89"
WIPI1,3,"-0,17042","-0,52984","0,188999","0,284529","0,080957","81,9","0,352707",0,Mitochondrial Biogenesis (complete),DOWN,"0,89"
AIPL1,3,"-0,16942","-0,47055","0,131696",0,0,0,"0,270119",0,Mitochondrial Biogenesis (complete),DOWN,"0,89"
UBQLN4,3,"-0,16831","-0,34982","0,013203","0,097702","0,009546","35,6","0,06915",0,autophagy,DOWN,"0,89"
CHCHD10,3,"-0,16519","-0,44317","0,112782","0,182772","0,033406","55,8","0,244109",0,Mitochondrial Biogenesis (complete),DOWN,"0,89"
RNASEH2A,3,"-0,29933","-0,57434","-0,02431","0,186647","0,034837","61,7","0,032901",1,autophagy,DOWN,"0,81"
NCCRP1,3,"-0,15504","-0,36286","0,052776",0,0,0,"0,143672",0,autophagy,DOWN,"0,90"
CTSK,3,"-0,15439","-0,85063","0,541862","0,552706","0,305484","82,9","0,663846",0,autophagy,DOWN,"0,90"
EDC4,3,"-0,15261","-0,42957","0,124355","0,206777","0,042757","71,6","0,280156",0,autophagy,DOWN,"0,90"
DAPL1,3,"-0,14766","-0,54523","0,249912",0,0,0,"0,466647",0,autophagy,DOWN,"0,90"
ECHDC1,2,"-0,1474","-0,42766","0,132855","0,172587","0,029786","72,3","0,302598",0,autophagy,DOWN,"0,90"
SAMHD1,3,"-0,14726","-0,3179","0,023368","0,08239","0,006788",29,"0,090727",0,autophagy,DOWN,"0,90"
HNRNPU,3,"-0,14612","-0,38549","0,093248","0,185311","0,03434","77,4","0,231516",0,autophagy,DOWN,"0,90"
NUDT11,3,"-0,14464","-0,38695","0,097659","0,10667","0,011379",24,"0,241988",0,autophagy,DOWN,"0,90"
DUT,2,"-0,1427","-0,57673","0,291327","0,278756","0,077705","78,8","0,519301",0,autophagy,DOWN,"0,91"
VPS37B,3,"-0,14261","-0,37075","0,085527","0,154878","0,023987","59,8","0,220494",0,autophagy,DOWN,"0,91"
FDXR,3,"-0,14244","-0,30911","0,024223",0,0,0,"0,093908",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
MITF,2,"-0,14244","-0,43543","0,150553","0,163369","0,026689","59,7","0,34066",0,Mitophagy,DOWN,"0,91"
RNF133,3,"-0,14156","-0,43541","0,152301",0,0,0,"0,345084",0,autophagy,DOWN,"0,91"
IBA57,3,"-0,14099","-0,41286","0,130872","0,190203","0,036177","63,4","0,3094",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
CTSW,3,"-0,13972","-0,38249","0,103039",0,0,0,"0,25928",0,autophagy,DOWN,"0,91"
MVB12A,2,"-0,13931","-0,73021","0,451591","0,368593","0,135861",74,"0,644018",0,autophagy,DOWN,"0,91"
SAMM50,3,"-0,13809","-0,42951","0,153341","0,220767","0,048738","75,9","0,353043",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
RNASEH2B,3,"-0,13736","-0,43372","0,158999","0,215091","0,046264","67,7","0,363644",0,autophagy,DOWN,"0,91"
FBXO17,3,"-0,13704","-0,43764","0,16356","0,216784","0,046995","67,2","0,371564",0,autophagy,DOWN,"0,91"
SFXN5,2,"-0,13675","-0,35044","0,076943",0,0,0,"0,209744",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
CUL4B,3,"-0,13506","-0,68824","0,418128","0,477758","0,228253","95,5","0,632276",0,autophagy,DOWN,"0,91"
POP7,3,"-0,13469","-0,59181","0,322422","0,374725","0,140419","86,5","0,563583",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
C19orf12,3,"-0,13254","-0,27228","0,007191",0,0,0,"0,063007",0,Mitochondrial Biogenesis (complete),DOWN,"0,91"
NUDT17,3,"-0,12963","-0,29099","0,031718","0,021587","0,000466","1,4","0,115324",0,autophagy,DOWN,"0,91"
CYP2D7,3,"-0,12926","-0,44809","0,189558",0,0,0,"0,426805",0,autophagy,DOWN,"0,91"
UBE2DNL,1,"-0,295","-0,56851","-0,02149",NA,NA,NA,"0,034512",1,autophagy,DOWN,"0,82"
PRKACA,3,"-0,12817","-0,38265","0,126307","0,181662","0,033001","65,5","0,323558",0,Autophagy,DOWN,"0,91"
DERA,3,"-0,12777","-0,37802","0,122477","0,177182","0,031393","64,6","0,316959",0,autophagy,DOWN,"0,92"
FBXL21P,2,"-0,12691","-0,47395","0,220132",0,0,0,"0,473528",0,autophagy,DOWN,"0,92"
TFE3,3,"-0,12367","-0,40047","0,153132","0,213716","0,045674","77,1","0,381203",0,Mitophagy,DOWN,"0,92"
ACOX3,3,"-0,12352","-0,42585","0,178816","0,226971","0,051516","74,5","0,423271",0,autophagy,DOWN,"0,92"
DPYSL5,3,"-0,12244","-0,31456","0,069678",0,0,0,"0,211616",0,autophagy,DOWN,"0,92"
COA7,3,"-0,12188","-0,34852","0,104774","0,156363","0,024449","61,6","0,291907",0,Mitochondrial Biogenesis (complete),DOWN,"0,92"
PSMA2,3,"-0,1217","-0,47568","0,232276","0,288832","0,083424","85,5","0,50039",0,autophagy,DOWN,"0,92"
MPC1L,2,"-0,12134","-0,51964","0,276966",0,0,0,"0,550451",0,Mitochondrial Biogenesis (complete),DOWN,"0,92"
TIMP4,3,"-0,12131","-0,32711","0,084485",0,0,0,"0,247941",0,autophagy,DOWN,"0,92"
GLA,3,"-0,12015","-0,53216","0,291855","0,313977","0,098582","74,5","0,567597",0,autophagy,DOWN,"0,92"
DNLZ,3,"-0,1186","-0,59482","0,35762","0,272976","0,074516","41,7","0,62546",0,Mitochondrial Biogenesis (complete),DOWN,"0,92"
COMMD1,3,"-0,11806","-0,40354","0,167415","0,206013","0,042441","66,8","0,41761",0,autophagy,DOWN,"0,92"
ACAA2,3,"-0,11792","-0,54695","0,311104","0,355933","0,126688","90,4","0,590079",0,autophagy,DOWN,"0,92"
