gene_symbol,annotation_ids,annotation_names,databases,n_annotation
ND6,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NDUFA1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA10,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA11,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA12,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA13,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA2,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA3,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA4,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA5,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA6,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA7,GO:0005743,mitochondrial inner membrane,GO,1
NDUFA8,GO:0005743,mitochondrial inner membrane,GO,1
NDUFAB1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFAF1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF2,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF4,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF5,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF6,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NDUFAF7,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NDUFAF8,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NDUFB1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB10,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB11,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB2,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB3,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB4,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB5,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB6,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB7,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB8,GO:0005743,mitochondrial inner membrane,GO,1
NDUFB9,GO:0005743,mitochondrial inner membrane,GO,1
NDUFC1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFC2,GO:0005743,mitochondrial inner membrane,GO,1
NDUFC2-KCTD14,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS2,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS3,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS4,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS5,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS6,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS7,GO:0005743,mitochondrial inner membrane,GO,1
NDUFS8,GO:0005743,mitochondrial inner membrane,GO,1
NDUFV1,GO:0005743,mitochondrial inner membrane,GO,1
NDUFV2,GO:0005743,mitochondrial inner membrane,GO,1
NDUFV3,GO:0005743,mitochondrial inner membrane,GO,1
NEDD4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NEU4,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
NFE2L2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NFS1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NFU1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NGRN,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NHLRC1,GO:0006914,autophagy,GO,1
NIPSNAP2,GO:0005741|GO:0007005,mitochondrial outer membrane|mitochondrion organization,GO,2
NLRP6,GO:0010506,regulation of autophagy,GO,1
NLRX1,GO:0005741,mitochondrial outer membrane,GO,1
NME4,GO:0005743,mitochondrial inner membrane,GO,1
NNT,GO:0005743,mitochondrial inner membrane,GO,1
NOA1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
NOS3,GO:0007005,mitochondrion organization,GO,1
NPC1,GO:0006914,autophagy,GO,1
NRAS,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
NRBF2,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
NRF1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NRIP1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NSUN3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NSUN4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
NUBPL,GO:0070584|br:hsa03029,mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,2
NUPR1,GO:0010507|GO:0010506,negative regulation of autophagy|regulation of autophagy,GO,2
OMA1,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
OPA1,GO:0007005|GO:0005743|GO:0005741|GO:0000266|GO:0008053|GO:0007007|br:hsa03029,mitochondrion organization|mitochondrial inner membrane|mitochondrial outer membrane|mitochondrial fission|mitochondrial fusion|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,7
OPA3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
OPTN,GO:0006914|path:hsa04137,autophagy|Mitophagy,GO|KEGG,2
OSBPL7,GO:0010506,regulation of autophagy,GO,1
OTC,GO:0005743,mitochondrial inner membrane,GO,1
OXA1L,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
OXR1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
P2RX7,GO:0007005,mitochondrion organization,GO,1
PAM16,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
PANK2,GO:0070584,mitochondrion morphogenesis,GO,1
PARK7,GO:0006914|GO:0007005,autophagy|mitochondrion organization,GO,2
PARL,GO:0005743|GO:0008053|br:hsa03029,mitochondrial inner membrane|mitochondrial fusion|Mitochondrial Biogenesis,GO|KEGG,3
PARP1,GO:0007005,mitochondrion organization,GO,1
PDE12,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PDE2A,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
PDIK1L,GO:0006914,autophagy,GO,1
PDPK1,path:hsa04140,Autophagy,KEGG,1
PET100,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
PET117,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PEX5,GO:0007005,mitochondrion organization,GO,1
PGAM5,GO:0005741|path:hsa04137,mitochondrial outer membrane|Mitophagy,GO|KEGG,2
PGR,GO:0005741,mitochondrial outer membrane,GO,1
PGRMC1,GO:0005741,mitochondrial outer membrane,GO,1
PGS1,GO:0005743,mitochondrial inner membrane,GO,1
PHB1,GO:0005743|GO:0007005|br:hsa03029,mitochondrial inner membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,3
PHB2,GO:0005743|GO:0005741|GO:0007005|br:hsa03029,mitochondrial inner membrane|mitochondrial outer membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,4
PHF23,GO:0006914,autophagy,GO,1
PI4KB,GO:0005741,mitochondrial outer membrane,GO,1
PID1,GO:0070584,mitochondrion morphogenesis,GO,1
PIF1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PIGBOS1,GO:0005741,mitochondrial outer membrane,GO,1
PIK3C3,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
PIK3CA,path:hsa04140,Autophagy,KEGG,1
PIK3CB,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
PIK3CD,path:hsa04140,Autophagy,KEGG,1
PIK3R1,path:hsa04140,Autophagy,KEGG,1
PIK3R2,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
PIK3R3,path:hsa04140,Autophagy,KEGG,1
PIK3R4,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
PINK1,GO:0000422|GO:0006914|GO:0005743|GO:0005741|GO:0007005|path:hsa04137|br:hsa03029,autophagy of mitochondrion|autophagy|mitochondrial inner membrane|mitochondrial outer membrane|mitochondrion organization|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,7
PIP4K2A,GO:0010506,regulation of autophagy,GO,1
PIP4K2B,GO:0010506,regulation of autophagy,GO,1
PIP4K2C,GO:0010506,regulation of autophagy,GO,1
PISD,GO:0005743,mitochondrial inner membrane,GO,1
PLA2G2A,GO:0005741,mitochondrial outer membrane,GO,1
PLA2G4A,GO:0005743,mitochondrial inner membrane,GO,1
PLA2G4B,GO:0005743,mitochondrial inner membrane,GO,1
PLA2G6,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PLD6,GO:0005741|GO:0008053,mitochondrial outer membrane|mitochondrial fusion,GO,2
PLEC,GO:0007005|GO:0070584|GO:0005741,mitochondrion organization|mitochondrion morphogenesis|mitochondrial outer membrane,GO,3
PLEKHM1,GO:0006914,autophagy,GO,1
PLSCR3,GO:0005743,mitochondrial inner membrane,GO,1
PMAIP1,GO:0005741,mitochondrial outer membrane,GO,1
PMPCA,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
PMPCB,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
PNPT1,GO:0070584,mitochondrion morphogenesis,GO,1
POLDIP2,GO:0070584|br:hsa03029,mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,2
POLG,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
POLG2,GO:0070584|br:hsa03029,mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,2
POLRMT,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
POP1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
POP4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
POP5,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
POP7,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PPARGC1A,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
PPARGC1B,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PPIF,GO:0005743,mitochondrial inner membrane,GO,1
PPOX,GO:0005743,mitochondrial inner membrane,GO,1
PPP1CC,GO:0005741,mitochondrial outer membrane,GO,1
PPP1R15A,GO:0005741,mitochondrial outer membrane,GO,1
PPP2CA,path:hsa04140,Autophagy,KEGG,1
PPP2CB,path:hsa04140,Autophagy,KEGG,1
PPP2R2B,GO:0005741,mitochondrial outer membrane,GO,1
PPRC1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PRAP1,path:hsa04140,Autophagy,KEGG,1
PRDX3,GO:0007005,mitochondrion organization,GO,1
PRIMPOL,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PRKAA1,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
PRKAA2,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
PRKACA,path:hsa04140,Autophagy,KEGG,1
PRKACB,path:hsa04140,Autophagy,KEGG,1
PRKACG,path:hsa04140,Autophagy,KEGG,1
PRKCD,path:hsa04140,Autophagy,KEGG,1
PRKCQ,path:hsa04140,Autophagy,KEGG,1
PRKN,GO:0006914|GO:0005741|GO:0000422|GO:0007005|GO:0010506|GO:0000266|path:hsa04137|br:hsa03029,autophagy|mitochondrial outer membrane|autophagy of mitochondrion|mitochondrion organization|regulation of autophagy|mitochondrial fission|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,8
PRODH,GO:0005743,mitochondrial inner membrane,GO,1
PRODH2,GO:0005743,mitochondrial inner membrane,GO,1
PRORP,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PSAP,GO:0010506,regulation of autophagy,GO,1
PSEN1,GO:0006914|GO:0005743,autophagy|mitochondrial inner membrane,GO,2
PSEN2,GO:0005743,mitochondrial inner membrane,GO,1
PTCD1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
PTCD2,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
PTCD3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
PTEN,path:hsa04140,Autophagy,KEGG,1
PTPMT1,GO:0005743,mitochondrial inner membrane,GO,1
PTPN22,GO:0006914|GO:0010507,autophagy|negative regulation of autophagy,GO,2
PUM2,GO:0007005,mitochondrion organization,GO,1
PYCARD,GO:0010506,regulation of autophagy,GO,1
PYROXD2,GO:0007005,mitochondrion organization,GO,1
QRSL1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
QTRT1,GO:0005741,mitochondrial outer membrane,GO,1
QTRT2,GO:0005741,mitochondrial outer membrane,GO,1
RAB11FIP5,GO:0005741,mitochondrial outer membrane,GO,1
RAB1A,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
RAB1B,GO:0006914,autophagy,GO,1
RAB24,GO:0006914,autophagy,GO,1
RAB29,GO:0007005,mitochondrion organization,GO,1
RAB32,GO:0005741|GO:0007005,mitochondrial outer membrane|mitochondrion organization,GO,2
RAB33B,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
RAB38,GO:0007005,mitochondrion organization,GO,1
RAB39A,GO:0006914,autophagy,GO,1
RAB39B,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
RAB3A,GO:0007005,mitochondrion organization,GO,1
RAB5IF,GO:0005743,mitochondrial inner membrane,GO,1
RAB7A,GO:0006914|path:hsa04137|path:hsa04140,autophagy|Mitophagy|Autophagy,GO|KEGG,3
RAB7B,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
RAB8A,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
RAC2,GO:0005741,mitochondrial outer membrane,GO,1
RAF1,GO:0005741|path:hsa04140,mitochondrial outer membrane|Autophagy,GO|KEGG,2
RARS1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RARS2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RASIP1,GO:0010507,negative regulation of autophagy,GO,1
RB1CC1,GO:0000422|GO:0006914|path:hsa04140|br:hsa03029,autophagy of mitochondrion|autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
RCC1L,GO:0005743|GO:0008053|br:hsa03029,mitochondrial inner membrane|mitochondrial fusion|Mitochondrial Biogenesis,GO|KEGG,3
RDH13,GO:0005743,mitochondrial inner membrane,GO,1
RELA,path:hsa04137,Mitophagy,KEGG,1
RETREG1,GO:0006914,autophagy,GO,1
RETREG2,GO:0006914,autophagy,GO,1
RETREG3,GO:0006914,autophagy,GO,1
RGS19,GO:0006914,autophagy,GO,1
RHEB,path:hsa04140,Autophagy,KEGG,1
RHOD,GO:0005741,mitochondrial outer membrane,GO,1
RHOT1,GO:0007005|GO:0005741|path:hsa04137|br:hsa03029,mitochondrion organization|mitochondrial outer membrane|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,4
RHOT2,GO:0007005|GO:0005741|path:hsa04137,mitochondrion organization|mitochondrial outer membrane|Mitophagy,GO|KEGG,3
RIMOC1,GO:0006914,autophagy,GO,1
RMC1,GO:0010506|GO:0006914,regulation of autophagy|autophagy,GO,2
RMDN3,GO:0005741,mitochondrial outer membrane,GO,1
RMND1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RNF166,GO:0006914,autophagy,GO,1
RNF185,GO:0006914|GO:0005741,autophagy|mitochondrial outer membrane,GO,2
RNF41,GO:0006914|br:hsa03029,autophagy|Mitochondrial Biogenesis,GO|KEGG,2
RNF5,GO:0010507,negative regulation of autophagy,GO,1
ROCK1,GO:0010506,regulation of autophagy,GO,1
ROMO1,GO:0005743,mitochondrial inner membrane,GO,1
RPP25,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPP25L,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPP30,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPP38,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPP40,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPS27A,GO:0005741|path:hsa04137,mitochondrial outer membrane|Mitophagy,GO|KEGG,2
RPS3,GO:0005743,mitochondrial inner membrane,GO,1
RPS6KB1,GO:0005741|path:hsa04140,mitochondrial outer membrane|Autophagy,GO|KEGG,2
RPS6KB2,path:hsa04140,Autophagy,KEGG,1
RPTOR,GO:0010506|GO:0010507|path:hsa04140,regulation of autophagy|negative regulation of autophagy|Autophagy,GO|KEGG,3
RPUSD3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RPUSD4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
RRAGA,GO:0010507|GO:0010506|path:hsa04140,negative regulation of autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
RRAGB,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
RRAGC,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
RRAGD,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
RRAS,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
RRAS2,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
RSAD2,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
RTN4IP1,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
RUBCN,GO:0006914|GO:0010507|path:hsa04140,autophagy|negative regulation of autophagy|Autophagy,GO|KEGG,3
RUBCNL,GO:0006914,autophagy,GO,1
RUFY4,GO:0006914,autophagy,GO,1
S100A8,GO:0006914,autophagy,GO,1
S100A9,GO:0006914,autophagy,GO,1
SAMM50,GO:0005741|GO:0007007|GO:0045040|br:hsa03029,mitochondrial outer membrane|inner mitochondrial membrane organization|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,4
SARM1,GO:0005741,mitochondrial outer membrane,GO,1
SBF2,GO:0006914,autophagy,GO,1
SCO1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SCO2,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SDHA,GO:0005743,mitochondrial inner membrane,GO,1
SDHAF1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SDHAF2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SDHB,GO:0005743,mitochondrial inner membrane,GO,1
SDHC,GO:0005743,mitochondrial inner membrane,GO,1
SDHD,GO:0005743,mitochondrial inner membrane,GO,1
SEC16A,GO:0006914,autophagy,GO,1
SEC16B,GO:0006914,autophagy,GO,1
SELENON,GO:0007005,mitochondrion organization,GO,1
SEPTIN4,GO:0005741,mitochondrial outer membrane,GO,1
SERAC1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SESN2,GO:0007005,mitochondrion organization,GO,1
SFXN1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SFXN2,GO:0005743|GO:0005741|br:hsa03029,mitochondrial inner membrane|mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
SFXN3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SFXN4,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SFXN5,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SH3GLB1,GO:0006914|GO:0005741|path:hsa04140|br:hsa03029,autophagy|mitochondrial outer membrane|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
SHARPIN,GO:0007005,mitochondrion organization,GO,1
SHMT2,GO:0005743,mitochondrial inner membrane,GO,1
SIL1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SIRT1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SIRT2,GO:0006914|GO:0010507,autophagy|negative regulation of autophagy,GO,2
SIRT4,GO:0007005|GO:0005743,mitochondrion organization|mitochondrial inner membrane,GO,2
SIRT5,GO:0007005,mitochondrion organization,GO,1
SLC11A2,GO:0005741,mitochondrial outer membrane,GO,1
SLC22A14,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A1,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A10,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A11,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A12,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A13,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A14,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A15,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A16,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A17,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A18,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A19,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A2,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A20,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A21,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A22,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A23,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A24,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A25,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A26,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A27,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A28,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC25A29,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A3,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A30,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A31,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC25A32,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A33,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
SLC25A34,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A35,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A36,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
SLC25A37,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC25A38,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A39,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A4,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC25A40,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A41,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A42,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A43,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A45,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A46,GO:0005741|GO:0000266|GO:0000422|GO:0007005,mitochondrial outer membrane|mitochondrial fission|autophagy of mitochondrion|mitochondrion organization,GO,4
SLC25A47,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A48,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A5,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC25A51,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A52,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A53,GO:0005743,mitochondrial inner membrane,GO,1
SLC25A6,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SLC27A1,GO:0005743,mitochondrial inner membrane,GO,1
SLC29A3,GO:0005741,mitochondrial outer membrane,GO,1
SLC30A2,GO:0005743,mitochondrial inner membrane,GO,1
SLC41A3,GO:0005743,mitochondrial inner membrane,GO,1
SLC44A1,GO:0005741,mitochondrial outer membrane,GO,1
SLC7A5,GO:0010507,negative regulation of autophagy,GO,1
SLC8A3,GO:0005741,mitochondrial outer membrane,GO,1
SLC8B1,GO:0005743,mitochondrial inner membrane,GO,1
SLC9B2,GO:0005743,mitochondrial inner membrane,GO,1
SLIRP,GO:0070584,mitochondrion morphogenesis,GO,1
SMCR8,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
SMDT1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SMIM20,GO:0005743,mitochondrial inner membrane,GO,1
SMIM4,GO:0005743,mitochondrial inner membrane,GO,1
SMURF1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SMURF2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SNAP29,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
SNN,GO:0005741,mitochondrial outer membrane,GO,1
SNX25,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SNX30,GO:0000422,autophagy of mitochondrion,GO,1
SNX7,GO:0000422,autophagy of mitochondrion,GO,1
SOD2,GO:0007005,mitochondrion organization,GO,1
SOGA1,GO:0010506,regulation of autophagy,GO,1
SOGA3,GO:0010506,regulation of autophagy,GO,1
SOX10,GO:0005741,mitochondrial outer membrane,GO,1
SP1,path:hsa04137|br:hsa03029,Mitophagy|Mitochondrial Biogenesis,KEGG,2
SPART,GO:0005741,mitochondrial outer membrane,GO,1
SPATA18,GO:0005741,mitochondrial outer membrane,GO,1
SPATA19,GO:0005741,mitochondrial outer membrane,GO,1
SPATA33,GO:0006914,autophagy,GO,1
SPG7,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
SPHK2,GO:0005743,mitochondrial inner membrane,GO,1
SPIRE1,GO:0005741,mitochondrial outer membrane,GO,1
SPNS1,GO:0005743,mitochondrial inner membrane,GO,1
SQOR,GO:0005743,mitochondrial inner membrane,GO,1
SQSTM1,GO:0006914|GO:0000422|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,5
SRC,GO:0005743|path:hsa04137,mitochondrial inner membrane|Mitophagy,GO|KEGG,2
SRPX,GO:0006914,autophagy,GO,1
SSBP1,GO:0070584|br:hsa03029,mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,2
STARD7,GO:0005741,mitochondrial outer membrane,GO,1
STAT3,GO:0010507,negative regulation of autophagy,GO,1
STBD1,GO:0006914,autophagy,GO,1
STING1,GO:0006914|GO:0005741,autophagy|mitochondrial outer membrane,GO,2
STK11,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
STK35,GO:0006914,autophagy,GO,1
STMP1,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
STOML2,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
STX17,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
SUMO1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
