grouped_process	gene_symbol
Autophagy	SBF2
Autophagy	SEC16A
Autophagy	SEC16B
Autophagy	SH3GLB1
Autophagy	SIRT2
Autophagy	SLC7A5
Autophagy	SMCR8
Autophagy	SNAP29
Autophagy	SOGA1
Autophagy	SOGA3
Autophagy	SPATA33
Autophagy	SQSTM1
Autophagy	SRPX
Autophagy	STAT3
Autophagy	STBD1
Autophagy	STING1
Autophagy	STK11
Autophagy	STK35
Autophagy	STX17
Autophagy	SUPT20H
Autophagy	SYT11
Autophagy	TAB2
Autophagy	TAB3
Autophagy	TANK
Autophagy	TAX1BP1
Autophagy	TBC1D14
Autophagy	TBC1D17
Autophagy	TBC1D25
Autophagy	TBC1D5
Autophagy	TBK1
Autophagy	TCIRG1
Autophagy	TECPR1
Autophagy	TECPR2
Autophagy	TEX264
Autophagy	TFEB
Autophagy	TGFBRAP1
Autophagy	TIGAR
Autophagy	TLK2
Autophagy	TM9SF1
Autophagy	TMBIM6
Autophagy	TMEM150B
Autophagy	TMEM208
Autophagy	TMEM39A
Autophagy	TMEM41B
Autophagy	TMEM59
Autophagy	TMEM74
Autophagy	TOLLIP
Autophagy	TP53
Autophagy	TP53INP1
Autophagy	TP53INP2
Autophagy	TPCN2
Autophagy	TRAF6
Autophagy	TRAPPC4
Autophagy	TREM2
Autophagy	TRIB3
Autophagy	TRIM17
Autophagy	TRIM5
Autophagy	TSC1
Autophagy	TSC2
Autophagy	UBQLN1
Autophagy	UBQLN2
Autophagy	UBQLN4
Autophagy	ULK1
Autophagy	ULK2
Autophagy	ULK3
Autophagy	UMOD
Autophagy	USP10
Autophagy	USP13
Autophagy	USP33
Autophagy	UVRAG
Autophagy	VAMP8
Autophagy	VCP
Autophagy	VHL
Autophagy	VMP1
Autophagy	VPS11
Autophagy	VPS13A
Autophagy	VPS16
Autophagy	VPS18
Autophagy	VPS33A
Autophagy	VPS39
Autophagy	VPS41
Autophagy	VPS4A
Autophagy	VPS4B
Autophagy	VPS51
Autophagy	VTI1A
Autophagy	WAC
Autophagy	WASHC1
Autophagy	WDFY3
Autophagy	WDFY4
Autophagy	WDR24
Autophagy	WDR41
Autophagy	WDR45
Autophagy	WDR45B
Autophagy	WDR47
Autophagy	WDR6
Autophagy	WIPI1
Autophagy	WIPI2
Autophagy	XBP1
Autophagy	ZFYVE1
Autophagy	ZKSCAN3
Autophagy	ZMPSTE24
