row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol,CI.L,CI.R
ENSG00000121410,119.36170725838167,-0.5084533528387788,0.24952968974801668,-2.0376467159167784,0.041585276536033035,0.4793406238503568,A1BG,-0.9188931680528795,-0.09801353762467813
ENSG00000148584,4.580327202566408,1.3121423588970336,1.120504701122811,1.1710279819283136,0.24158752982297335,NA,A1CF,-0.5309238627609969,3.155208580555064
ENSG00000175899,1403.326071409539,0.008510013772928822,0.16539733882878208,0.05145193890778567,0.9589653982843663,0.9893311670160712,A2M,-0.26354439888771486,0.2805644264335725
ENSG00000166535,10.71145421008474,0.8493929344590874,0.5829722955662365,1.4570039449886354,0.14511529125452213,NA,A2ML1,-0.10951116031526209,1.8082970292334368
ENSG00000256069,5.040919947101278,-0.13916997097207365,0.8729167912093735,-0.1594309702523445,0.8733293402275555,NA,A2MP1,-1.574990321019652,1.2966503790755046
ENSG00000184389,0.5690239946770083,2.4686229153130568,2.648009294295966,0.9322561369518897,0.35120417018798744,NA,A3GALT2,-1.8869647766108693,6.824210607236983
ENSG00000128274,2459.8739471490353,-0.1630186300440839,0.17552997319478794,-0.928722468744298,0.35303293338524844,0.7652792757278049,A4GALT,-0.4517397430922254,0.12570248300405762
ENSG00000118017,0.5758868459359083,-0.3475233040601299,2.4507604568301686,-0.14180223248322646,0.8872362206242467,NA,A4GNT,-4.378665530266478,3.683618922146218
ENSG00000094914,569.8832546902307,-0.19449297979390273,0.12124946780848767,-1.604072853343179,0.10869799486732415,0.5832642357532885,AAAS,-0.39393060668462937,0.0049446470968239065
ENSG00000081760,605.2517468018674,0.021482997315895216,0.1283556760181727,0.16737084001531524,0.8670782678131281,0.9671059719799913,AACS,-0.18964330192240414,0.2326092965541946
ENSG00000250420,16.285266680199022,0.4319560725365387,0.5095756271583495,0.8476780472122333,0.3966172954186542,NA,AACSP1,-0.40622124600094317,1.2701333910740207
ENSG00000114771,1.6508745946074452,0.37675958286115524,1.4553125172335073,0.258885688400015,0.7957234408488302,NA,AADAC,-2.017016489458255,2.7705356551805655
ENSG00000188984,2.3118267557923,0.36077415367714943,1.3387482612274022,0.2694861790867101,0.7875555764476612,NA,AADACL3,-1.841270779377719,2.5628190867320177
ENSG00000109576,112.38973744015725,0.029729665608233438,0.22292882004149953,0.13335945349147357,0.8939091103491154,0.9762397913289418,AADAT,-0.33695561258903894,0.3964149438055058
